start,dest,last_check
Illnau,"Girona
",2023-05-29 20:58:50
Illnau,"Torelló
",2023-05-29 20:58:50
Illnau,"Ribes de Freser
",2023-05-29 20:58:50
Illnau,"Estación de tren La Molina
",2023-05-29 20:58:51
Illnau,"Bellver de Cerdanya
",2023-05-29 20:58:54
Illnau,"Baqueira
",2023-05-29 20:58:54
Illnau,"Terrassa
",2023-05-29 20:58:54
Illnau,"Lleida
",2023-05-29 20:58:55
Illnau,"Huesca
",2023-05-29 20:58:55
Illnau,"Estacion Tren Pamplona/Iruña
",2023-05-29 20:58:55
Illnau,"Donostia-San Sebastián
",2023-05-29 20:58:56
Illnau,"Bilbao
",2023-05-29 20:58:56
Illnau,"Vitoria-Gasteiz
",2023-05-29 20:58:56
Illnau,"Aosta Viale Europa
",2023-05-29 20:59:03
Illnau,"Ivrea
",2023-05-29 20:59:03
Illnau,"Vercelli
",2023-05-29 20:59:03
Illnau,"Novara
",2023-05-29 20:59:04
Illnau,"Mailand
",2023-05-29 20:59:08
Illnau,"Lecco
",2023-05-29 20:59:08
Illnau,"Bozen
",2023-05-29 20:59:17
Illnau,"Meran
",2023-05-29 20:59:18
Illnau,"London
",2023-05-29 20:59:28
Illnau,"Exeter
",2023-05-29 20:59:28
Illnau,"Plymouth
",2023-05-29 20:59:28
Illnau,"Colchester
",2023-05-29 20:59:28
Illnau,"Kortrijk
",2023-05-29 20:59:29
Illnau,"Ypern
",2023-05-29 20:59:29
Illnau,"Charleroi
",2023-05-29 20:59:32
Illnau,"Dinant
",2023-05-29 20:59:32
Illnau,"Bouillon
",2023-05-29 20:59:32
Illnau,"Arel
",2023-05-29 20:59:33
Illnau,"Luxemburg
",2023-05-29 20:59:33
"Illnau, Bahnhof",Amsterdam Centraal,2023-05-29 21:19:09
"Illnau, Bahnhof",Triberg,2023-05-29 21:19:16
"Illnau, Bahnhof",Unadingen,2023-05-29 21:19:31
